,userId,avg_TV_rating,avg_Phone_rating
0,3,0.5,4.2
1,4,3.38,2.83
2,5,3.09,2.5
3,7,2.65,3.15
4,9,3.17,3
5,10,3.33,2
6,19,2.68,2.56
7,26,3,2
8,28,2.89,3.18
9,35,3.56,3
10,38,3.11,2.33
11,40,3.68,3
12,41,3.32,2.3
13,44,3.38,3.11
14,47,2.9,2.85
15,50,2.82,2.55
16,54,3.17,3
17,57,3.4,3.15
18,75,3.23,2.95
19,76,1.73,3.2
20,78,3.5,3.03
21,81,2.33,3.83
22,85,4,2
23,91,2.96,3.71
24,94,2.3,3.33
25,99,4.7,2.83
26,102,3.29,2.83
27,109,3.38,2.92
28,110,3.81,2.7
29,111,3.25,2.88
30,112,2.17,4.19
31,115,2.9,3.89
32,117,3.44,3.19
33,118,2.5,4
34,121,3.41,3
35,126,4.2,2.67
36,127,2.75,1
37,131,3.42,3.09
